Male service workers (%),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Peru,,,,,,,,63,,,66.0999984741211,,,,,66.6999969482422,64.3000030517578,62.7000007629394,65.6999969482422,67.3000030517578,66.6999969482422,64.9000015258789,44.7000007629394,43.7999992370606,44.5999984741211,44.5999984741211,44.7000007629394,46.4000015258789
Philippines,24.6000003814697,26.5,25.3999996185303,26.3999996185303,26.5,27.2999992370605,27.7000007629395,28.1000003814697,29.1000003814697,30.1000003814697,30.5,28.7000007629394,29.2999992370606,29.6000003814697,30,31.2000007629394,47,48.2999992370606,49.9000015258789,48.4000015258789,37,36.7000007629394,36.7999992370606,37.2000007629394,37.7999992370606,38.5,38.7000007629394,38.7000007629394
Poland,,,,,,,,,,,,,,,35.0999984741211,36.0999984741211,36.7999992370606,38.2999992370606,39.2999992370606,41.0999984741211,40.4000015258789,40.4000015258789,42.0999984741211,42.7999992370606,42.9000015258789,43,43.5,43.5999984741211
Portugal,33.9000015258789,34.4000015258789,34.5,37.7999992370606,39.0999984741211,39.2999992370606,41.0999984741211,39.9000015258789,40.5,42.0999984741211,43.7000007629394,44.5999984741211,49.2999992370606,48.9000015258789,49.0999984741211,49,49.2999992370606,47.0999984741211,43,44.2999992370606,43.9000015258789,44.5,44.2999992370606,45.2000007629394,47,47.7999992370606,47.7999992370606,47.9000015258789
Puerto Rico,64.5,64.9000015258789,67,66.6999969482422,66.9000015258789,67.3000030517578,67,67.5999984741211,67.5999984741211,66.6999969482422,,67.8000030517578,67.4000015258789,67.3000030517578,68.3000030517578,69,70.5,69.5,68.5,68.6999969482422,69.0999984741211,69.1999969482422,70.6999969482422,70.9000015258789,70.4000015258789,71.5999984741211,71.5,71.5999984741211
Qatar,,,,,,,,,,,,,,,,,,57.4000015258789,,,,52.7000007629394,,,49,,48.2999992370606,
Moldova,,,,,,,,,,,,,,,,,,,,,30.2999992370606,30.5,30.8999996185303,35.2000007629394,37.7999992370606,37.9000015258789,40.7000007629394,39.2999992370606
Romania,26,26.7000007629395,26.5,26.2000007629395,26.2999992370605,26.2000007629395,26.2000007629395,26.1000003814697,26.3999996185303,26.2999992370605,26,28.2999992370606,27.6000003814697,25.7999992370605,26.8999996185303,28.1000003814697,29.2000007629394,28.7999992370606,28.7999992370606,28.6000003814697,29,29.8999996185303,31.6000003814697,31.7999992370606,33.5,33.5999984741211,35.0999984741211,34.7000007629394
Russia,,,,,,,,,,,,,,,,,,47.9000015258789,49.4000015258789,48.2000007629394,48.2000007629394,49.7000007629394,50.2000007629394,48.4000015258789,50.0999984741211,49.5999984741211,50,51
Rwanda,,,,,,,,,,10.6999998092651,,,,,,,,,,,,,,,,,,
